NOME_ARQ,EARM_SE,EARM_S,EARM_NE,EARM_N,EARM_SIN,GT_SE,GT_S,GT_NE,GT_N,GT_SIN,GH_SE,GH_S,GH_NE,GH_N,GH_SIN,CMO_SE,CMO_S,CMO_NE,CMO_N,DEF_SE,DEF_S,DEF_NE,DEF_N
relato_2020_10_rv1,35.8,31.0,43.9,40.5,37.157407508468225,6293.6,860.0,1889.4,2502.3,11545.3,35084.3,6182.4,6162.4,4060.8,51489.90000000001,353.47,353.47,220.91,353.47,0.0,0.0,0.0,0.0
relato_2020_10_rv2,33.6,29.9,41.4,36.0,34.85680085751442,6222.3,858.4,1972.3,2501.2,11554.2,34473.5,5954.7,5708.2,4177.2,50313.59999999999,373.63,373.63,234.48,373.63,0.0,0.0,0.0,0.0
relato_2020_10_rv3,31.3,29.5,38.9,31.1,32.51255017526806,6338.5,863.6,2232.3,2778.9,12213.300000000001,35418.8,2898.3,5625.6,4357.3,48300.00000000001,443.54,443.54,258.11,443.54,0.0,0.0,0.0,0.0
relato_2020_10_rv4,29.1,29.5,36.0,28.6,30.32281673443653,6340.6,865.0,2067.3,2774.6,12047.500000000002,36149.9,2053.7,7016.6,3157.3,48377.5,453.96,453.96,252.25,453.96,0.0,0.0,0.0,0.0
relato_2020_11_rv0,27.3,29.4,34.4,24.6,28.55796688640323,6381.4,862.5,2217.3,2599.5,12060.7,34291.299999999996,1747.0,6368.2,4012.4,46418.899999999994,509.88,509.88,224.8,509.88,0.0,0.0,0.0,0.0
relato_2020_11_rv1,25.7,29.4,33.1,23.8,27.16287807058439,7760.6,1588.6,1972.3,2800.5,14122.0,32344.1,1739.7,7554.7,3738.5,45376.99999999999,796.98,796.98,246.89,796.98,0.0,0.0,0.0,0.0
relato_2020_11_rv2,24.3,29.4,31.9,21.8,25.862088749218128,7192.6,1067.9,2135.1,2749.7,13145.3,32072.1,4257.9,6699.1,3859.3,46888.4,627.24,627.24,429.71,627.24,0.0,0.0,0.0,0.0
relato_2020_11_rv3,23.0,29.1,29.8,21.4,24.536444799343055,7699.9,1811.1,1967.9,2747.6,14226.5,34066.7,2234.0,7195.7,4516.8,48013.2,749.88,749.88,290.89,749.88,0.0,0.0,0.0,0.0
relato_2020_12_rv0,21.0,29.3,29.9,19.9,23.08709772379249,7835.7,1940.1,4129.9,3107.5,17013.199999999997,35244.0,3638.6,4481.9,5346.8,48711.3,1851.42,1851.42,1851.11,1851.42,0.0,0.0,0.0,0.0
relato_2020_12_rv1,20.5,32.4,27.6,18.5,22.466770688564274,5972.4,1182.5,2033.6,2780.5,11969.0,33395.5,9292.3,8158.7,4846.3,55692.8,426.99,426.99,392.01,426.99,0.0,0.0,0.0,0.0
relato_2020_12_rv2,20.5,31.1,25.6,16.9,21.939306915320792,5940.6,1640.0,2128.3,2670.6,12379.500000000002,33903.7,7837.2,7716.4,4961.1,54418.399999999994,524.9,524.9,524.9,524.9,0.0,0.0,0.0,0.0
relato_2020_12_rv3,21.2,30.1,24.4,16.2,22.112742104239903,5461.4,1187.5,2044.5,2777.2,11470.599999999999,31403.100000000002,8025.9,7999.2,4867.2,52295.399999999994,384.75,384.75,383.68,384.75,0.0,0.0,0.0,0.0
relato_2021_01_rv0,22.1,29.2,25.9,18.2,23.057164688744507,4879.0,1187.0,2033.3,2777.5,10876.8,41198.0,6413.3,3469.7,4198.5,55279.5,326.32,326.32,326.32,326.32,0.0,0.0,0.0,0.0
relato_2021_01_rv1,22.8,29.2,27.1,18.4,23.772023372089745,5954.4,1667.0,2514.5,2675.3,12811.2,39494.5,3340.2,3494.7,5451.6,51780.99999999999,472.56,472.56,472.56,472.56,0.0,0.0,0.0,0.0
relato_2021_01_rv2,23.4,29.2,27.7,18.1,24.284263780547917,7662.7,1186.0,2357.0,2669.7,13875.400000000001,39145.299999999996,4376.4,3322.4,6128.1,52972.2,631.79,631.79,631.79,631.79,0.0,0.0,0.0,0.0
relato_2021_01_rv3,25.0,29.2,28.6,18.2,25.57279493703258,4776.9,1187.0,2179.5,2736.0,10879.4,40868.4,7785.8,2641.8,8522.6,59818.600000000006,423.72,423.72,423.72,423.72,0.0,0.0,0.0,0.0
relato_2021_01_rv4,26.1,36.4,29.9,18.0,27.057972723166746,4177.1,1186.0,1985.3,2380.6,9729.0,38800.399999999994,11261.0,2483.5,7540.2,60085.09999999999,294.54,294.54,294.54,294.54,0.0,0.0,0.0,0.0
relato_2021_02_rv0,26.3,47.5,30.4,18.1,28.06604256482209,3140.9,927.5,1985.3,2006.3,8060.0,40403.6,11090.6,2352.6,9392.4,63239.2,235.14,214.86,235.14,235.14,0.0,0.0,0.0,0.0
relato_2021_02_rv1,27.5,45.0,30.6,18.7,28.80466257123855,3680.0,1191.0,1984.9,2409.3,9265.2,39910.700000000004,12445.6,2354.8,6980.7,61691.8,313.56,302.13,313.56,313.56,0.0,0.0,0.0,0.0
relato_2021_02_rv2,29.3,42.2,31.7,22.3,30.256198287933877,3999.4,1192.0,1985.3,1719.0,8895.7,35953.700000000004,9251.3,2382.8,10310.0,57897.8,329.04,329.04,329.04,329.04,0.0,0.0,0.0,0.0
relato_2021_02_rv3,30.8,38.5,34.3,28.0,31.80766040809245,4189.0,1192.0,1991.5,1891.5,9264.0,35723.100000000006,7691.2,2723.1,14298.5,60435.9,369.49,369.49,369.49,369.49,0.0,0.0,0.0,0.0
